Word	DEPENDER_Cardinality
material	754
activity	753
activity	753
activity	753
activity	753
activity	753
activity	753
purple	752
purple	752
purple	752
purple	752
purple	752
purple	752
purple	752
known	748
known	748
known	748
known	748
known	748
known	748
known	748
known	748
known	748
known	748
known	748
known	748
shape	748
shape	748
shape	748
shape	748
shape	748
shape	748
shape	748
shape	748
shape	748
shape	748
shape	748
related	744
related	744
related	744
related	744
related	744
related	744
related	744
before	738
before	738
government	736
government	736
government	736
government	736
pink	731
pink	731
pink	731
pink	731
pink	731
pink	731
pink	731
noted	722
noted	722
noted	722
noted	722
noted	722
noted	722
things	721
things	721
things	721
things	721
things	721
things	721
things	721
things	721
things	721
things	721
things	721
things	721
things	721
public	718
public	718
public	718
public	718
grown	717
grown	717
grown	717
grown	717
grown	717
grown	717
grown	717
grown	717
grown	717
grown	717
grown	717
animal	715
animal	715
branch	715
branch	715
branch	715
branch	715
branch	715
branch	715
branch	715
branch	715
physical	715
physical	715
physical	715
physical	715
physical	715
physical	715
physical	715
metal	712
metal	712
metal	712
metal	712
brown	709
brown	709
brown	709
brown	709
brown	709
brown	709
brown	709
brown	709
along	707
along	707
along	707
along	707
along	707
e.g.	700
tall	700
tall	700
tall	700
tall	700
tall	700
amount	696
amount	696
amount	696
amount	696
amount	696
amount	696
amount	696
different	694
different	694
different	694
different	694
different	694
structure	689
structure	689
structure	689
structure	689
structure	689
structure	689
do	688
do	688
do	688
do	688
do	688
do	688
do	688
do	688
do	688
do	688
do	688
do	688
do	688
do	688
do	688
do	688
computer	687
computer	687
important	681
important	681
important	681
important	681
important	681
drug	678
drug	678
drug	678
near	675
near	675
near	675
near	675
near	675
near	675
near	675
near	675
near	675
game	670
game	670
game	670
game	670
game	670
game	670
game	670
game	670
game	670
game	670
game	670
game	670
game	670
game	670
soft	667
soft	667
soft	667
soft	667
soft	667
soft	667
soft	667
soft	667
soft	667
soft	667
soft	667
soft	667
soft	667
soft	667
soft	667
soft	667
soft	667
soft	667
soft	667
soft	667
coast	664
coast	664
coast	664
coast	664
coast	664
deciduous	663
deciduous	663
low	663
low	663
low	663
low	663
low	663
low	663
low	663
low	663
low	663
low	663
low	663
low	663
low	663
low	663
low	663
low	663
element	662
element	662
element	662
element	662
element	662
element	662
element	662
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
right	661
change	658
change	658
change	658
change	658
change	658
change	658
change	658
change	658
change	658
change	658
change	658
change	658
change	658
change	658
change	658
change	658
change	658
change	658
change	658
change	658
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
open	656
species	653
species	653
species	653
music	652
music	652
music	652
music	652
music	652
period	650
period	650
period	650
period	650
period	650
period	650
period	650
social	647
social	647
social	647
social	647
social	647
social	647
social	647
treat	647
treat	647
treat	647
treat	647
treat	647
treat	647
treat	647
treat	647
treat	647
treat	647
three	643
three	643
three	643
feeling	633
feeling	633
feeling	633
feeling	633
feeling	633
feeling	633
feeling	633
feeling	633
feeling	633
feeling	633
feeling	633
feeling	633
feeling	633
feeling	633
feeling	633
feeling	633
feeling	633
feeling	633
feeling	633
means	633
means	633
means	633
means	633
means	633
means	633
means	633
means	633
means	633
means	633
means	633
instrument	629
instrument	629
instrument	629
instrument	629
instrument	629
instrument	629
instrument	629
instrument	629
instrument	629
chiefly	623
acid	620
acid	620
acid	620
acid	620
acid	620
away	618
away	618
away	618
away	618
away	618
away	618
away	618
away	618
away	618
away	618
away	618
away	618
away	618
away	618
young	615
young	615
young	615
young	615
young	615
young	615
young	615
young	615
young	615
young	615
young	615
young	615
young	615
young	615
country	613
country	613
country	613
country	613
country	613
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
get	611
center	607
center	607
center	607
center	607
center	607
center	607
center	607
center	607
center	607
center	607
center	607
center	607
center	607
center	607
center	607
center	607
center	607
center	607
center	607
center	607
center	607
center	607
center	607
written	607
written	607
written	607
written	607
written	607
written	607
written	607
written	607
written	607
written	607
written	607
written	607
written	607
land	606
land	606
land	606
land	606
land	606
land	606
land	606
land	606
land	606
land	606
land	606
land	606
land	606
land	606
land	606
land	606
land	606
land	606
woman	602
woman	602
woman	602
woman	602
thin	600
thin	600
thin	600
thin	600
thin	600
thin	600
thin	600
thin	600
thin	600
thin	600
thin	600
thin	600
thin	600
worn	598
worn	598
worn	598
worn	598
worn	598
worn	598
worn	598
worn	598
worn	598
worn	598
worn	598
covered	597
covered	597
covered	597
covered	597
covered	597
covered	597
covered	597
covered	597
covered	597
covered	597
covered	597
covered	597
covered	597
covered	597
covered	597
covered	597
covered	597
covered	597
covered	597
covered	597
covered	597
covered	597
covered	597
covered	597
covered	597
covered	597
covered	597
fragrant	597
lower	595
lower	595
lower	595
lower	595
lower	595
lower	595
lower	595
lower	595
lower	595
lower	595
lower	595
lower	595
lower	595
lower	595
lower	595
lower	595
oil	595
oil	595
oil	595
oil	595
oil	595
oil	595
showy	595
showy	595
showy	595
showy	595
provide	593
provide	593
provide	593
provide	593
provide	593
provide	593
provide	593
located	592
located	592
located	592
located	592
located	592
pacific	592
pacific	592
pacific	592
pacific	592
sexual	591
sexual	591
sexual	591
he	589
he	589
movement	586
movement	586
movement	586
movement	586
movement	586
movement	586
movement	586
movement	586
movement	586
movement	586
movement	586
remove	586
remove	586
remove	586
remove	586
remove	586
remove	586
remove	586
remove	586
remove	586
showing	585
showing	585
showing	585
showing	585
showing	585
showing	585
showing	585
